2012	IA	1
2010	DOT	316750
2014	3-1-1	1188
2015	DOE	1636
2013	DESIGNCOM	1
2017	NYCOOA	1
2017	DCP	17
2010	3-1-1	1909
2013	NYCPPF	1
2016	NYCSERVICE	1
2011	CAU	1
2011	DOHMH	44919
2012	DOHMH	47618
2010	HPD	671071
2010	EDC	497
2013	EDC	771
2013	MOVA	2
2015	3-1-1	1294
2012	DOT	257518
2015	AJC	3
2016	DOE	1748
2014	MOFTB	1
2014	FDNY	7248
2012	DCLA	1
2015	OPS	9
2013	DCLA	2
2016	EMTF	1
2012	DHS	4261
2014	EDC	1289
2011	DSNY	133488
2013	HRA	10355
2013	OCHIA	2
2015	NYCOOA	2
2016	LOFT	1
2015	MOVA	10
2017	DVS	1
2017	OEC	4
2016	CAU	2
2017	EDC	175
2016	DOF	71398
2010	DOHMH	46934
2013	DHS	613
2014	OATH	125
2011	TLC	22792
2013	VAC	1
2011	ACS	1
2011	DOITT	1148
2017	NYPD	156161
2012	MOVA	1
2017	DOHMH	14550
2014	DPR	90380
2016	NYCOOA	2
2015	NYCSERVICE	2
2013	DCA	20021
2014	OCHIA	1
2016	DOC	1
2015	DSNY	155217
2010	DOB	111545
2017	DSNY	52275
2016	DOB	88674
2014	TFA	1
2011	CWI	1
2017	OPS	1
2017	FUND	1
2013	IA	1
2016	CHALL	800
2011	DCP	1
2015	DOP	43
2013	NYCEM	314
2013	3-1-1	1000
2016	DHS	45647
2012	MOC	1
2013	NYCHA	1
2016	DCP	66
2012	MOIA	4
2017	DFTA	2461
2015	MOFTB	7
2011	OATH	1
2009	DSNY	39074
2016	NYCHA	10
2010	DOF	59416
2010	DEP	171552
2014	NYCERS	1
2010	DOE	3393
2015	DOT	318887
2016	DFTA	9136
2013	SBS	1
2014	OPA	2
2017	DHS	5181
2013	DOITT	432
2013	ACS	1
2016	HPD	597547
2016	MOVA	2
2013	MOFTB	3
2011	OCHIA	2
2016	TLC	25683
2016	OCHIA	2
2012	HPD	562761
2015	EDC	1505
2012	WF1	2
2017	DOB	21167
2017	DCA	4486
2014	MOIA	7
2014	NYCSERVICE	1
2016	NYCPPF	1
2017	HRA	6898
2017	NYCHA	2
2015	NYCHA	7
2017	SBS	1
2013	CAU	2
2012	NYPD	294894
2014	HPD	611590
2011	DOF	66486
2014	DOT	311474
2017	DOE	556
2013	DCAS	3
2011	NYCEM	36
2015	CHALL	17
2010	DPR	98910
2012	OATH	6
2015	DOITT	430
2013	OMB	1
2015	TLC	26521
2010	DCA	23557
2017	DOF	23135
2016	MOPD	3
2015	OCME	4
2017	OATH	2
2013	CCRB	4
2009	NYPD	30724
2015	DOHMH	58826
2016	FDNY	6991
2014	NYCOOA	6
2016	OCME	2
2016	DORIS	67
2012	OAE	5
2009	DPR	7536
2009	DEP	44012
2011	DOE	2995
2010	TLC	26317
2013	DOT	274389
2014	DOITT	489
2012	DORIS	1
2013	MOIA	7
2016	DYCD	1
2011	DOB	85208
2014	DOP	34
2011	DEP	159982
2009	DOHMH	10193
2012	DYCD	2
2010	DFTA	12131
2011	DPR	85711
2012	FDNY	6368
2014	MOC	2
2014	COIB	3
2013	NYCOOA	1
2017	MOPD	1
2012	DOITT	1230
2017	DOITT	687
2012	VAC	3
2016	OPS	10
2012	EDC	691
2014	DEP	164455
2014	MOPD	2
2013	NYPD	350121
2012	MOFTB	2
2015	DCA	20364
2016	ACS	231
2013	DOP	49
2015	SBS	1
2010	DHS	37973
2014	IA	4
2014	DCA	20745
2011	3-1-1	8160
2015	HPD	629352
2017	NYCERS	1
2012	DV	1
2017	OPA	1
2015	DFTA	9475
2016	HRA	25359
2014	NYCEM	280
2014	AJC	4
2011	WF1	1
2013	FUND	1
2014	DV	1
2017	DOP	13
2015	NYCEM	164
2011	FDNY	2149
2016	EDC	1013
2013	OPS	778
2012	COIB	8
2017	HPD	184865
2009	DOT	91532
2016	DOHMH	66252
2016	DCLA	2
2013	DSNY	117153
2012	SBS	1
2015	DYCD	1
2014	LAW	5
2015	DHS	6574
2014	NYCPPF	4
2011	DFTA	11674
2017	COIB	4
2014	OPS	10
2012	CCRB	1
2014	DOF	84812
2016	NYPD	671031
2016	TAT	1
2016	MOFTB	1
2009	3-1-1	125
2013	LAW	2
2014	HRA	17980
2017	OCME	2
2014	OCME	2
2014	DOE	1483
2012	OPS	494
2017	DOT	71322
2016	DPR	98525
2011	NYPD	279742
2012	DCP	1
2016	DEP	197333
2012	NYCERS	1
2012	DESIGNCOM	2
2016	DSNY	166290
2014	DOC	2
2014	CCRB	4
2014	CHALL	26
2012	HRA	3839
2011	DOT	302379
2014	DOB	89646
2016	NYCERS	1
2012	3-1-1	9212
2015	HRA	27367
2011	OPS	1
2013	DOHMH	47937
2013	NYCERS	1
2015	DCAS	2
2015	NYPD	580090
2015	DPR	89978
2009	DCA	6957
2015	OATH	118
2014	DYCD	1
2013	DPR	82585
2013	DOE	1306
2013	DYCD	3
2013	HPD	577281
2013	DOF	96913
2016	NYCEM	138
2016	IA	1
2012	DOC	1
2016	CCRB	3
2015	MOPD	5
2014	DCLA	6
2017	3-1-1	294
2012	DOB	88436
2012	FUND	8
2010	DOITT	1115
2011	DV	1
2016	AJC	2
2015	OPA	1
2012	TLC	22967
2013	EMTF	1
2014	DFTA	9037
2012	DOE	1356
2016	OPA	2
2013	MOC	5
2013	DOB	84302
2016	MOIA	10
